Code;Typ;Klasse;Bewerb;Leistung;Wind;Name;Vorname;Nation;YOB;RNAT;RORT;Datum;Geschlecht;Umgebung
AL;4;MT11;100;0:11.00;0.5;Shikongo;Ananias;NAM;1986;IND;New Delhi;2025-10-03;Male;Outdoor
AL;4;MT12;100;0:11.07;-0.4;Adewole;Babatunde Temitope;NGR;1998;TUN;Tunis;2025-06-16;Male;Outdoor
AL;4;MT13;100;0:11.47;1.3;Okora;Jairus Ongeta;KEN;1996;UAE;Dubai;2025-02-12;Male;Outdoor
AL;4;MT34;100;0:14.93;1.3;Michel;Roberto;MRI;2000;IND;New Delhi;2025-10-01;Male;Outdoor
AL;4;MT35;100;0:16.04;0.0;Mebarki;Walid;ALG;1997;ALG;Oran;2025-07-03;Male;Outdoor
AL;4;MT36;100;0:12.05;-1.0;Didane;Mokhtar;ALG;1989;IND;New Delhi;2025-10-02;Male;Outdoor
AL;4;MT37;100;0:12.09;1.0;Hamdi;Sofiane;ALG;1989;ALG;Oran;2025-07-03;Male;Outdoor
AL;4;MT38;100;0:11.98;1.0;Prosper;Mitchell;MRI;2000;IND;New Delhi;2025-09-27;Male;Outdoor
AL;4;MT44;100;0:11.81;0.0;Ramadan;Karim;EGY;2000;IND;New Delhi;2025-09-29;Male;Outdoor
AL;4;MT46;100;0:11.16;0.7;Christian;Ifeanyi;NGR;1996;POR;Torres Vedras;2025-06-25;Male;Outdoor
AL;4;MT47;100;0:10.70;0.1;El Haddaoui;Aymane;MAR;2000;IND;New Delhi;2025-09-27;Male;Outdoor
AL;4;MT52;100;0:21.33;1.1;Tedjani;Hadi;ALG;1984;ALG;Oran;2025-07-01;Male;Outdoor
AL;4;MT53;100;0:15.35;-0.8;Khelifi;Mohamed Nidhal;TUN;1996;IND;New Delhi;2025-10-02;Male;Outdoor
AL;4;MT54;100;0:15.03;-1.3;Ravet;Cedric;MRI;1986;SUI;Arbon;2025-06-01;Male;Outdoor
AL;4;MT61;100;0:16.55;-2.3;Mokolometsa;Kitso;RSA;2007;RSA;Gqeberha;2025-03-30;Male;Outdoor
AL;4;MT62;100;0:11.31;0.6;Daniels;Paul;RSA;2002;RSA;Stellenbosch;2025-02-22;Male;Outdoor
AL;4;MT63;100;0:12.03;-0.3;Mabote;Puseletso Michael;RSA;2005;IND;New Delhi;2025-10-05;Male;Outdoor
AL;4;MT64;100;0:12.74;0.2;Van Heerden;Jayden;RSA;2009;RSA;Gqeberha;2025-03-30;Male;Outdoor
AL;4;MT11;200;0:26.10;-0.8;Mukiri;John Njoroge;KEN;1987;MAR;Marrakech;2025-04-26;Male;Outdoor
AL;4;MT12;200;0:31.58;-0.9;Loko;Francois D'Assise Jasmin Romeo;BEN;2002;MAR;Marrakech;2025-04-26;Male;Outdoor
AL;4;MT13;200;0:24.19;0.9;Matthee;Ricardi;RSA;2005;TUN;Tunis;2025-06-16;Male;Outdoor
AL;4;MT36;200;0:25.23;1.1;Thelaidjia;Fakhr Eddine;ALG;1999;ALG;Oran;2025-07-01;Male;Outdoor
AL;4;MT37;200;0:24.28;0.8;Hamdi;Sofiane;ALG;1989;ALG;Oran;2025-07-01;Male;Outdoor
AL;4;MT38;200;0:25.65;0.9;Ighil;Ahmed Abdelmalek;ALG;2005;ALG;Oran;2025-07-01;Male;Outdoor
AL;4;MT44;200;0:23.81;0.7;Ramadan;Karim;EGY;2000;IND;New Delhi;2025-10-05;Male;Outdoor
AL;4;MT46;200;0:23.51;0.4;Bekhouche;Anis Abdelkarim;ALG;1999;ALG;Oran;2025-07-03;Male;Outdoor
AL;4;MT47;200;0:25.05;-0.2;Diop;Mame Ousseynou;SEN;2000;MAR;Marrakech;2025-04-26;Male;Outdoor
AL;4;MT54;200;0:25.08;0.0;Gharbi;Yassine;TUN;1990;UAE;Sharjah;2025-02-03;Male;Outdoor
AL;4;MT61;200;0:31.79;0.2;Mokolometsa;Kitso;RSA;2007;RSA;Gqeberha;2025-03-31;Male;Outdoor
AL;4;MT63;200;0:24.88;-1.5;Mabote;Puseletso Michael;RSA;2005;ESP;L´Hospitalet de Llobregat, Barcelona;2025-05-17;Male;Outdoor
AL;4;MT64;200;0:26.13;-0.2;Van Heerden;Jayden;RSA;2009;RSA;Gqeberha;2025-03-31;Male;Outdoor
AL;4;MT11;400;0:53.52;;Shikongo;Ananias;NAM;1986;IND;New Delhi;2025-09-29;Male;Outdoor
AL;4;MT12;400;0:49.81;;Jebabli;Rouay;TUN;1997;TUN;Tunis;2025-06-16;Male;Outdoor
AL;4;MT13;400;0:49.66;;Mokgwathi;Bose;BOT;2002;IND;New Delhi;2025-10-03;Male;Outdoor
AL;4;MT20;400;0:49.10;;Philippe;Yovanni;MRI;2002;UAE;Dubai;2025-02-13;Male;Outdoor
AL;4;MT34;400;0:48.39;;Michel;Roberto;MRI;2000;UAE;Sharjah;2025-02-04;Male;Outdoor
AL;4;MT35;400;1:30.98;;Mebarki;Walid;ALG;1997;ALG;Oran;2025-07-02;Male;Outdoor
AL;4;MT36;400;0:53.75;;Thelaidjia;Fakhr Eddine;ALG;1999;IND;New Delhi;2025-09-29;Male;Outdoor
AL;4;MT37;400;0:51.38;;Tissaoui;Amen Allah;TUN;2004;IND;New Delhi;2025-10-02;Male;Outdoor
AL;4;MT38;400;0:55.39;;Bakhti;Aboubakr Amin;ALG;1998;ALG;Oran;2025-07-03;Male;Outdoor
AL;4;MT46;400;0:51.70;;Orji;Chukwuebuka;NGR;2001;TUN;Tunis;2025-06-16;Male;Outdoor
