Code;Typ;Klasse;Bewerb;Leistung;Wind;Name;Vorname;Nation;YOB;RNAT;RORT;Datum;Geschlecht;Umgebung
AL;3;MT11;100;0:11.54;-0.2;de Souza Gomes;Felipe;BRA;1986;BRA;Sao Paulo;2024-02-25;Male;Outdoor
AL;2;MT12;100;0:10.55;1.7;Malone;Noah;USA;2001;USA;Fullerton;2024-03-09;Male;Outdoor
AL;3;MT13;100;0:10.87;-0.1;Barros Ferreira;Fabricio Junior;BRA;1998;BRA;Sao Paulo;2024-02-25;Male;Outdoor
AL;2;MT34;100;0:15.91;-2.6;Smeenk;Austin;CAN;1997;UAE;Sharjah;2024-02-04;Male;Outdoor
AL;3;MT35;100;0:12.63;-1.6;Bordignon;Fabio;BRA;1992;BRA;Sao Paulo;2024-03-03;Male;Outdoor
AL;3;MT36;100;0:12.21;-1.1;Chavez;Alexis Sebastian;ARG;2002;MEX;Xalapa;2024-04-06;Male;Outdoor
AL;3;MT37;100;0:11.36;-0.2;Cavalcante Pinheiro;Edson;BRA;1979;BRA;Sao Paulo;2024-02-25;Male;Outdoor
AL;2;MT38;100;0:11.49;-0.6;Chessani Garcia;Jose Rodolfo;MEX;1998;MEX;Xalapa;2024-04-06;Male;Outdoor
AL;3;MT44;100;0:12.14;-1.1;Pereira Santos;Romildo;BRA;1999;BRA;Sao Paulo;2024-03-16;Male;Outdoor
AL;2;MT45;100;0:11.57;1.8;Sample;Rayven;USA;2002;USA;Walnut;2024-03-16;Male;Outdoor
AL;3;MT47;100;0:10.72;-1.1;Ferreira dos Santos;Petrucio;BRA;1996;BRA;Sao Paulo;2024-03-16;Male;Outdoor
AL;2;MT51;100;0:23.05;0.2;Navarro Sanchez;Edgar Cesareo;MEX;1971;MEX;Xalapa;2024-04-06;Male;Outdoor
AL;2;MT52;100;0:18.12;0.2;Perez Juarez;Leonardo De Jesus;MEX;1993;MEX;Xalapa;2024-04-06;Male;Outdoor
AL;2;MT53;100;0:15.51;0.0;Hunt;Bob;USA;1990;USA;Walnut;2024-03-16;Male;Outdoor
AL;2;MT54;100;0:14.01;0.3;Cervantes Garcia;Juan Pablo;MEX;1992;MEX;Xalapa;2024-04-06;Male;Outdoor
AL;2;MT62;100;0:11.00;2.0;Woodhall;Hunter;USA;1999;USA;Walnut;2024-03-15;Male;Outdoor
AL;2;MT63;100;0:12.34;0.8;Frech;Ezra;USA;2005;USA;Walnut;2024-03-16;Male;Outdoor
AL;2;MT64;100;0:10.93;1.3;Guity Guity;Sherman Isidro;CRC;1996;ITA;Jesolo;2024-03-23;Male;Outdoor
AL;2;MT71;100;0:26.61;0.6;Putman;Jody;USA;2001;USA;Walnut;2024-03-16;Male;Outdoor
AL;3;MT72;100;0:16.35;0.4;Marques Krieger Quintino;Vinicius;BRA;2006;BRA;Sao Paulo;2024-02-25;Male;Outdoor
AL;2;MT11;200;0:25.21;0.7;Brown;David;USA;1992;USA;San Diego;2024-02-03;Male;Outdoor
AL;2;MT12;200;0:21.49;0.5;Malone;Noah;USA;2001;USA;San Diego;2024-04-06;Male;Outdoor
AL;3;MT13;200;0:22.65;1.9;Barros Ferreira;Fabricio Junior;BRA;1998;BRA;Sao Paulo;2024-02-25;Male;Outdoor
AL;3;MT35;200;0:26.42;-0.6;Barreto;Hernan;ARG;1991;MEX;Xalapa;2024-04-05;Male;Outdoor
AL;2;MT36;200;0:41.39;-0.6;Landois Varela;Edgar Michel;MEX;2009;MEX;Xalapa;2024-04-05;Male;Outdoor
AL;3;MT37;200;0:23.83;1.9;Cavalcante Pinheiro;Edson;BRA;1979;BRA;Sao Paulo;2024-02-25;Male;Outdoor
AL;2;MT38;200;0:25.63;-2.3;Torres Lopez;Jassiel Jose;PUR;2005;ITA;Jesolo;2024-03-24;Male;Outdoor
AL;2;MT51;200;0:43.66;2.0;Fournie;Cody;CAN;1989;UAE;Dubai;2024-02-15;Male;Outdoor
AL;2;MT62;200;0:31.46;0.3;Reynolds;Brian;USA;1988;MEX;Xalapa;2024-04-05;Male;Outdoor
AL;3;MT64;200;0:22.79;0.1;Fortes;Wallison Andre;BRA;1996;BRA;Sao Paulo;2024-03-03;Male;Outdoor
