Code;Typ;Klasse;Bewerb;Leistung;Wind;Name;Vorname;Nation;YOB;RNAT;RORT;Datum;Geschlecht;Umgebung
PAL;5;MT11;100;0:11.92;1.2;Watbok;Peerapon;THA;1995;UAE;Dubai;2026-02-12;Male;Outdoor
PAL;5;MT12;100;0:11.44;1.7;Singnath;Shubham Arun;IND;1997;IND;New Delhi;2026-03-11;Male;Outdoor
PAL;5;MT13;100;0:11.48;2.0;Ang;James Ethan Kai Meng;SGP;2001;UAE;Dubai;2026-02-12;Male;Outdoor
PAL;5;MT33;100;0:22.37;-1.8;Aladwani;Mohammad;KUW;2006;UAE;Dubai;2026-02-10;Male;Outdoor
PAL;5;MT34;100;0:15.00;-1.8;Othman;Mohamad;UAE;2004;UAE;Dubai;2026-02-10;Male;Outdoor
PAL;5;MT35;100;0:13.77;1.9;;Vinay;IND;2003;IND;New Delhi;2026-03-11;Male;Outdoor
PAL;1;MT36;100;0:12.53;1.9;Bakhtiyorov;Barotjon;UZB;2009;UAE;Dubai;2026-02-11;Male;Outdoor
PAL;5;MT37;100;0:11.70;0.5;Bhatt;Rakeshbhai;IND;2001;IND;New Delhi;2026-03-11;Male;Outdoor
PAL;5;MT42;100;0:21.24;1.3;Mantra;Lokesh;IND;2006;IND;New Delhi;2026-03-11;Male;Outdoor
PAL;5;MT44;100;0:11.62;0.0;Gamage;Indika;SRI;1990;AUS;Sydney;2026-04-11;Male;Outdoor
PAL;5;MT46;100;0:10.94;1.1;Gavit;Dilip Mahadu;IND;2003;UAE;Dubai;2026-02-11;Male;Outdoor
PAL;5;MT47;100;0:11.07;1.8;Suzuki;Yudai;JPN;1998;USA;Walnut;2026-04-18;Male;Outdoor
PAL;5;MT51;100;0:28.43;-1.7;Nagasaki;Yuya;JPN;1982;JPN;Mihama;2026-04-18;Male;Outdoor
PAL;5;MT52;100;0:17.20;1.8;Oya;Yuki;JPN;1981;JPN;Miyazaki;2026-03-20;Male;Outdoor
PAL;5;MT54;100;0:14.39;1.5;Ikoma;Tomoki;JPN;1992;AUS;Canberra;2026-01-23;Male;Outdoor
PAL;5;MT63;100;0:12.96;0.3;Kondo;Hajime;JPN;2000;JPN;Miyazaki;2026-03-20;Male;Outdoor
PAL;5;MT64;100;0:11.29;0.8;Oshima;Kengo;JPN;2000;JPN;Tokyo;2026-03-22;Male;Outdoor
PAL;5;MT34;200;0:27.25;0.1;Arshid;Ali Radi;QAT;2004;OMA;Muscat;2026-02-04;Male;Outdoor
PAL;5;MT35;200;0:28.18;0.6;;Vinay;IND;2003;IND;New Delhi;2026-03-13;Male;Outdoor
PAL;5;MT37;200;0:24.10;0.7;Bhatt;Rakeshbhai;IND;2001;IND;New Delhi;2026-03-13;Male;Outdoor
PAL;5;MT44;200;0:24.90;0.5;Alsana;Nour;KSA;1984;OMA;Muscat;2026-02-04;Male;Outdoor
PAL;5;MT46;200;0:22.71;1.6;Juft;Nader;IRQ;2002;OMA;Muscat;2026-02-04;Male;Outdoor
PAL;5;MT52;200;0:31.71;-0.5;Ito;Tomoya;JPN;1963;JPN;Mihama;2026-04-18;Male;Outdoor
PAL;5;MT53;200;0:29.72;-1.5;Alqurashi;Abdulrahman;KSA;1997;OMA;Muscat;2026-02-04;Male;Outdoor
PAL;5;MT54;200;0:27.39;0.2;Vahdani;Mohammad;UAE;1979;OMA;Muscat;2026-02-04;Male;Outdoor
PAL;5;MT63;200;0:29.21;-1.4;Inagaki;Katsuaki;JPN;1992;JPN;Mihama;2026-04-18;Male;Outdoor
PAL;5;MT64;200;0:23.40;0.9;Oshima;Kengo;JPN;2000;JPN;Tokyo;2026-03-21;Male;Outdoor
PAL;5;MT11;400;0:57.86;;;Madan;IND;2000;IND;New Delhi;2026-03-12;Male;Outdoor
PAL;5;MT12;400;0:51.37;;Tisuwan;Kissanapong;THA;1999;UAE;Dubai;2026-02-13;Male;Outdoor
PAL;5;MT13;400;0:51.88;;Bhatt;Subodh;IND;2002;IND;New Delhi;2026-03-12;Male;Outdoor
PAL;5;MT20;400;0:50.45;;Watanabe;Kuma;JPN;2007;UAE;Dubai;2026-02-13;Male;Outdoor
PAL;5;MT34;400;0:51.52;;Othman;Mohamad;UAE;2004;UAE;Dubai;2026-02-12;Male;Outdoor
PAL;5;MT36;400;1:03.53;;;Chirag;IND;2001;UAE;Dubai;2026-02-10;Male;Outdoor
PAL;5;MT37;400;0:56.98;;Alzahrani;Thamer;KSA;1988;OMA;Muscat;2026-02-03;Male;Outdoor
PAL;5;MT44;400;0:55.58;;Alsana;Nour;KSA;1984;OMA;Muscat;2026-02-03;Male;Outdoor
PAL;5;MT46;400;0:49.15;;Gavit;Dilip Mahadu;IND;2003;UAE;Dubai;2026-02-12;Male;Outdoor
