Code;Typ;Klasse;Bewerb;Leistung;Wind;Name;Vorname;Nation;YOB;RNAT;RORT;Datum;Geschlecht;Umgebung
AL;1;MT11;100;0:11.17;1.8;Adolphe;Timothee;FRA;1989;FRA;MAISON ALFORT;2025-05-11;Male;Outdoor
AL;1;MT12;100;0:10.72;-0.1;Kashafali;Salum Ageze;NOR;1993;SUI;Nottwil;2025-05-23;Male;Outdoor
AL;1;MT13;100;0:11.13;2.0;Sirera Molina;Joan;ESP;2005;ESP;Segovia;2025-03-29;Male;Outdoor
AL;1;MT33;100;0:17.30;-0.3;Small;Andrew;GBR;1993;SUI;Arbon;2025-05-29;Male;Outdoor
AL;1;MT34;100;0:15.22;1.9;Manni;Henry;FIN;1992;SUI;Nottwil;2025-05-24;Male;Outdoor
AL;0;MT35;100;0:12.08;0.0;Safronov;Dmitrii;NPA;1995;IND;New Delhi;2025-03-11;Male;Outdoor
AL;0;MT36;100;0:12.72;-0.1;Kukus;Mikhail;NPA;2001;IND;New Delhi;2025-03-11;Male;Outdoor
AL;0;MT37;100;0:11.98;-0.6;Vdovin;Andrei;NPA;1994;IND;New Delhi;2025-03-11;Male;Outdoor
AL;1;MT38;100;0:11.00;1.8;Jozwicki;Dimitri;FRA;1997;FRA;MAISON ALFORT;2025-05-11;Male;Outdoor
AL;1;MT43;100;0:17.00;-0.9;Stamatiadis;Achileas;GRE;1992;MAR;Marrakech;2025-04-26;Male;Outdoor
AL;0;MT44;100;0:11.85;-0.1;Bartashevich;Dzmitry;NPA;1999;UAE;Dubai;2025-02-11;Male;Outdoor
AL;1;MT46;100;0:12.09;-0.5;Clinquart;Simon;BEL;2000;SUI;Nottwil;2025-05-23;Male;Outdoor
AL;1;MT47;100;0:11.03;-0.5;Derus;Michal;POL;1990;SUI;Nottwil;2025-05-23;Male;Outdoor
AL;1;MT51;100;0:19.96;1.9;Habsch;Roger;BEL;1979;SUI;Nottwil;2025-05-24;Male;Outdoor
AL;1;MT52;100;0:16.01;0.5;Carabin;Maxime;BEL;2000;UAE;Sharjah;2025-02-02;Male;Outdoor
AL;1;MT53;100;0:15.20;-1.0;Fairbank;Pierre;FRA;1971;SUI;Arbon;2025-06-01;Male;Outdoor
AL;1;MT54;100;0:13.68;1.0;Balde;Mamudo;POR;2005;POR;Lisboa;2025-04-25;Male;Outdoor
AL;1;MT62;100;0:10.96;-0.6;Floors;Johannes;GER;1995;ESP;L´Hospitalet de Llobregat, Barcelona;2025-05-17;Male;Outdoor
AL;1;MT63;100;0:12.81;-0.6;Schaefer;Leon;GER;1997;ESP;L´Hospitalet de Llobregat, Barcelona;2025-05-17;Male;Outdoor
AL;0;MT64;100;0:11.56;-0.5;Mikhalkov;Petr;NPA;1993;IND;New Delhi;2025-03-11;Male;Outdoor
AL;1;MT71;100;0:21.96;0.8;Krzyzek;Artur;POL;2000;SUI;Nottwil;2025-05-24;Male;Outdoor
AL;1;MT72;100;0:14.92;-0.6;Calcagni;Carlo Fabio Marcello;ITA;1968;MAR;Marrakech;2025-04-26;Male;Outdoor
AL;1;MT11;200;0:22.86;1.8;Adolphe;Timothee;FRA;1989;FRA;MAISON ALFORT;2025-05-11;Male;Outdoor
AL;1;MT12;200;0:24.54;-1.5;Kaya;Ali Enes;TUR;2001;SUI;Nottwil;2025-05-23;Male;Outdoor
AL;1;MT13;200;0:25.36;-0.1;Martinez Alonso;Arturo;ESP;1999;ESP;Segovia;2025-03-30;Male;Outdoor
AL;1;MT33;200;0:32.37;0.8;Small;Andrew;GBR;1993;SUI;Arbon;2025-05-29;Male;Outdoor
AL;1;MT34;200;0:26.80;0.8;Manni;Henry;FIN;1992;SUI;Arbon;2025-05-29;Male;Outdoor
AL;0;MT35;200;0:24.20;-0.3;Safronov;Dmitrii;NPA;1995;IND;New Delhi;2025-03-13;Male;Outdoor
AL;1;MT36;200;0:32.84;-0.3;Iniesta Saez;Gonzalo;ESP;2004;ESP;Gua;2025-04-12;Male;Outdoor
AL;0;MT37;200;0:23.70;-0.4;Feoktistov;Anton;NPA;2001;IND;New Delhi;2025-03-13;Male;Outdoor
AL;1;MT38;200;0:23.14;-0.2;Young;Thomas;GBR;2000;GBR;Manchester;2025-05-05;Male;Outdoor
AL;0;MT44;200;0:24.45;1.4;Bartashevich;Dzmitry;NPA;1999;UAE;Dubai;2025-02-13;Male;Outdoor
AL;1;MT46;200;0:24.54;-2.3;Clinquart;Simon;BEL;2000;SUI;Nottwil;2025-05-23;Male;Outdoor
AL;1;MT47;200;0:12.55;-1.5;Madronero Ramon;David;ESP;1999;ESP;L´Hospitalet de Llobregat, Barcelona;2025-05-17;Male;Outdoor
AL;1;MT51;200;0:37.39;-0.6;Habsch;Roger;BEL;1979;SUI;Arbon;2025-05-31;Male;Outdoor
AL;1;MT52;200;0:27.57;-0.3;Carabin;Maxime;BEL;2000;UAE;Sharjah;2025-02-03;Male;Outdoor
AL;1;MT53;200;0:35.59;0.2;Harder;Tim Pascal;SUI;2002;SUI;Nottwil;2025-05-23;Male;Outdoor
AL;1;MT54;200;0:25.78;0.4;Mattila;Esa-Pekka;FIN;1989;SUI;Arbon;2025-05-29;Male;Outdoor
AL;1;MT61;200;0:27.04;-0.5;Lacin;Ali;GER;1988;UAE;Dubai;2025-02-10;Male;Outdoor
AL;1;MT62;200;0:21.12;-1.5;Floors;Johannes;GER;1995;ESP;L´Hospitalet de Llobregat, Barcelona;2025-05-17;Male;Outdoor
AL;1;MT64;200;0:26.88;-2.3;Hegni;Sander Andreas;NOR;1998;SUI;Nottwil;2025-05-23;Male;Outdoor
AL;1;MT71;200;0:57.62;-0.9;Krause;Patryk;POL;1993;POL;Wroclaw;2025-04-26;Male;Outdoor
AL;1;MT72;200;0:35.99;-1.7;Siejwa;Piotr;POL;2006;POL;Wroclaw;2025-04-26;Male;Outdoor
AL;1;MT11;400;0:55.30;;Kogovsek;Robi;SLO;2001;SUI;Nottwil;2025-05-25;Male;Outdoor
AL;1;MT12;400;0:51.48;;Kaya;Ali Enes;TUR;2001;SUI;Nottwil;2025-05-25;Male;Outdoor
AL;1;MT13;400;0:50.03;;Marzillier;Max;GER;2001;SUI;Nottwil;2025-05-25;Male;Outdoor
AL;1;MT20;400;0:48.60;;Rodriguez Ramirez;Deliber;ESP;1993;ESP;Jaen;2025-05-24;Male;Outdoor
AL;1;MT33;400;1:01.03;;Small;Andrew;GBR;1993;SUI;Arbon;2025-05-29;Male;Outdoor
AL;1;MT34;400;0:50.18;;Manni;Henry;FIN;1992;SUI;Arbon;2025-05-31;Male;Outdoor
AL;0;MT36;400;0:56.10;;Kukus;Mikhail;NPA;2001;IND;New Delhi;2025-03-12;Male;Outdoor
AL;0;MT37;400;0:53.79;;Feoktistov;Anton;NPA;2001;IND;New Delhi;2025-03-12;Male;Outdoor
AL;1;MT38;400;0:51.37;;Sienkiewicz;Bartosz;POL;2001;SUI;Nottwil;2025-05-25;Male;Outdoor
AL;1;MT46;400;0:51.98;;Ryan;Cathal;IRL;2000;IRL;Dublin;2025-05-18;Male;Outdoor
AL;1;MT47;400;0:53.36;;Thores;Cameron;GBR;2003;SUI;Nottwil;2025-05-25;Male;Outdoor
AL;1;MT51;400;1:21.74;;Genyn;Peter;BEL;1976;BEL;Lokeren;2025-05-11;Male;Outdoor
AL;1;MT52;400;0:50.71;;Carabin;Maxime;BEL;2000;UAE;Sharjah;2025-02-04;Male;Outdoor
AL;1;MT53;400;0:49.79;;Fairbank;Pierre;FRA;1971;SUI;Arbon;2025-05-31;Male;Outdoor
AL;1;MT54;400;0:45.19;;Maguire;Nathan;GBR;1997;SUI;Arbon;2025-05-31;Male;Outdoor
AL;1;MT62;400;0:59.72;;Kobin;Oskar;EST;2010;MAR;Marrakech;2025-04-26;Male;Outdoor
AL;1;MT71;400;1:47.25;;Avramidis;Ioannis;GRE;2002;SUI;Nottwil;2025-05-25;Male;Outdoor
AL;1;MT72;400;1:02.36;;Calcagni;Carlo Fabio Marcello;ITA;1968;MAR;Marrakech;2025-04-26;Male;Outdoor
AL;1;MT11;800;2:26.79;;Olaso Hernandez;Ander;ESP;2007;ESP;Segovia;2025-03-30;Male;Outdoor
AL;1;MT13;800;2:12.34;;Salgueiro Montero;Roi;ESP;2005;ESP;Segovia;2025-03-30;Male;Outdoor
AL;1;MT20;800;2:01.96;;Bellitto;Arthur;FRA;2007;FRA;Versailles;2025-05-25;Male;Outdoor
AL;1;MT34;800;1:38.12;;Manni;Henry;FIN;1992;SUI;Arbon;2025-06-01;Male;Outdoor
AL;1;MT53;800;1:39.93;;Fairbank;Pierre;FRA;1971;SUI;Arbon;2025-06-01;Male;Outdoor
AL;1;MT54;800;1:29.61;;Maguire;Nathan;GBR;1997;SUI;Arbon;2025-06-01;Male;Outdoor
AL;1;MT11;1K5;4:25.54;;Kossakowski;Aleksander;POL;1994;SUI;Nottwil;2025-05-24;Male;Outdoor
AL;1;MT12;1K5;4:07.51;;Gomes;Isaias;POR;1994;UAE;Dubai;2025-02-11;Male;Outdoor
AL;1;MT13;1K5;4:01.53;;Al;Mikail;TUR;2001;SUI;Nottwil;2025-05-24;Male;Outdoor
AL;1;MT20;1K5;3:56.32;;Geffroy;Gael;FRA;1999;FRA;Vichy;2025-05-17;Male;Outdoor
AL;1;MT34;1K5;4:04.57;;Hermann;Eskil;SUI;2006;SUI;Arbon;2025-05-31;Male;Outdoor
AL;1;MT37;1K5;5:04.86;;Ley;Maximilian;GER;2003;SUI;Nottwil;2025-05-24;Male;Outdoor
AL;1;MT38;1K5;4:16.08;;Kruesemann;Felix Maximilian Sven;GER;2001;UAE;Dubai;2025-02-12;Male;Outdoor
AL;1;MT52;1K5;3:09.11;;Carabin;Maxime;BEL;2000;UAE;Sharjah;2025-02-03;Male;Outdoor
AL;1;MT53;1K5;3:03.28;;Fairbank;Pierre;FRA;1971;SUI;Arbon;2025-05-31;Male;Outdoor
AL;1;MT54;1K5;2:47.57;;Hug;Marcel;SUI;1986;SUI;Arbon;2025-05-31;Male;Outdoor
AL;1;MT11;5K0;16:35.20;;Munsch;Michel;FRA;1974;FRA;MAISON ALFORT;2025-05-11;Male;Outdoor
AL;1;MT12;5K0;15:44.50;;Gomes;Isaias;POR;1994;POR;Oeiras;2025-03-29;Male;Outdoor
AL;1;MT13;5K0;16:34.10;;Lerch;Noam;ISR;2009;SUI;Nottwil;2025-05-25;Male;Outdoor
AL;1;MT20;5K0;14:20.14;;Sandilands;Ben;GBR;2003;GBR;Manchester;2025-05-05;Male;Outdoor
AL;1;MT54;5K0;9:27.86;;Hug;Marcel;SUI;1986;UAE;Sharjah;2025-02-04;Male;Outdoor
AL;1;MT54;5S;10:02.0;;Hug;Marcel;SUI;1986;USA;Boston;2025-04-19;Male;Outdoor
AL;1;MT12;10S;34:00.0;;Clobert;Martin;BEL;1993;BEL;Leuven;2025-04-13;Male;Outdoor
AL;1;MT54;HAM;56:11.0;;van Hulst;Thomas;NED;2004;GER;Berlin;2025-04-06;Male;Outdoor
AL;1;MT12;MAR;2:43:30;;Nieves;Gustavo;ESP;1982;GBR;London;2025-04-27;Male;Outdoor
AL;1;MT20;MAR;4:40:06;;Reid;Prince;GBR;2001;USA;Boston;2025-04-21;Male;Outdoor
AL;1;MT53;MAR;1:36:09;;Monahan;Patrick;IRL;1986;USA;Boston;2025-04-21;Male;Outdoor
AL;1;MT54;MAR;1:21:34;;Hug;Marcel;SUI;1986;USA;Boston;2025-04-21;Male;Outdoor
AL;1;MT61;MAR;2:56:09;;Whitehead;Richard;GBR;1976;USA;Boston;2025-04-21;Male;Outdoor
AL;1;MT44;HOC;1.55;;Bosnjak;Adrian;BIH;2002;SUI;Nottwil;2025-05-25;Male;Outdoor
AL;1;MT46;HOC;1.75;;Dipoko-Ewane;Alexandre;FRA;1996;FRA;MAISON ALFORT;2025-05-11;Male;Outdoor
AL;1;MT47;HOC;1.97;;Ilgaz;Abdullah;TUR;1998;SUI;Nottwil;2025-05-25;Male;Outdoor
AL;1;MT11;WEI;5.75;-0.3;Pallier;Ronan;FRA;1970;FRA;MAISON ALFORT;2025-05-11;Male;Outdoor
AL;0;MT12;WEI;6.25;1.0;Sauchuk;Ihar;NPA;2003;UAE;Dubai;2025-02-11;Male;Outdoor
AL;1;MT13;WEI;6.61;1.3;Cano Blanco;Ivan Jose;ESP;1995;ESP;Segovia;2025-03-30;Male;Outdoor
AL;0;MT20;WEI;7.17;0.3;Iakushev;Matvei;NPA;2003;IND;New Delhi;2025-03-12;Male;Outdoor
AL;1;MT36;WEI;4.81;1.4;Petropoulos;Anastasios;GRE;1990;UAE;Dubai;2025-02-12;Male;Outdoor
AL;0;MT37;WEI;5.97;-0.1;Biriukov;Sergei;NPA;1998;MAR;Marrakech;2025-04-26;Male;Outdoor
AL;1;MT38;WEI;6.69;0.0;Sienkiewicz;Bartosz;POL;2001;SUI;Nottwil;2025-05-23;Male;Outdoor
AL;0;MT44;WEI;6.56;1.7;Bartashevich;Dzmitry;NPA;1999;UAE;Dubai;2025-02-12;Male;Outdoor
AL;0;MT47;WEI;6.79;0.0;Kotukov;Nikita;NPA;1999;IND;New Delhi;2025-03-12;Male;Outdoor
AL;1;MT61;WEI;6.03;-0.1;Gulec;Hamza;TUR;2001;SUI;Nottwil;2025-05-23;Male;Outdoor
AL;1;MT63;WEI;6.99;0.4;Schaefer;Leon;GER;1997;ESP;L´Hospitalet de Llobregat, Barcelona;2025-05-17;Male;Outdoor
AL;1;MT64;WEI;7.85;0.2;Rehm;Markus;GER;1988;ESP;L´Hospitalet de Llobregat, Barcelona;2025-05-17;Male;Outdoor
AL;1;MF11;KUG;10.91;;Spaic;Milos;MNE;1992;SUI;Nottwil;2025-05-24;Male;Outdoor
AL;0;MF12;KUG;15.15;;Efremov;Iaroslav;NPA;1995;COL;Cali;2025-05-18;Male;Outdoor
AL;1;MF13;KUG;13.13;;Romero Paredes;Ismael;ESP;2005;ESP;Segovia;2025-03-29;Male;Outdoor
AL;1;MF20;KUG;14.17;;Szollosi;Istvan;HUN;1995;HUN;Vac;2025-04-13;Male;Outdoor
AL;1;MF32;KUG;9.31;;Correia;Olavio;POR;1992;POR;Torres Vedras;2025-05-11;Male;Outdoor
AL;0;MF33;KUG;11.83;;Khrupin;Aleksandr;NPA;1994;MAR;Marrakech;2025-04-26;Male;Outdoor
AL;0;MF34;KUG;11.02;;Dubenchuk;Nikita;NPA;1998;MAR;Marrakech;2025-04-26;Male;Outdoor
AL;1;MF35;KUG;10.89;;Konov;Valerii;UKR;2003;UAE;Dubai;2025-02-10;Male;Outdoor
AL;0;MF36;KUG;14.68;;Kokoity;Alan;NPA;1988;IND;New Delhi;2025-03-13;Male;Outdoor
AL;1;MF37;KUG;13.74;;Miroslaw;Jakub;POL;2000;MAR;Marrakech;2025-04-26;Male;Outdoor
AL;1;MF38;KUG;13.5;;Bilyi;Vladyslav;UKR;1997;UAE;Dubai;2025-02-13;Male;Outdoor
AL;0;MF40;KUG;11.36;;Gnezdilov;Denis;NPA;1986;IND;New Delhi;2025-03-13;Male;Outdoor
AL;1;MF41;KUG;14.7;;Kappel;Niko;GER;1995;GER;Rechberghausen;2025-05-01;Male;Outdoor
AL;1;MF42;KUG;12.28;;Touzi;Badr;FRA;1988;MAR;Marrakech;2025-04-26;Male;Outdoor
AL;1;MF44;KUG;11.57;;Rutter;Adam James;GBR;2005;GBR;Manchester;2025-05-05;Male;Outdoor
AL;1;MF46;KUG;14.64;;Schulze;Mathias Uwe;GER;1983;GER;Rechberghausen;2025-05-01;Male;Outdoor
AL;1;MF53;KUG;8.01;;Kisy;Ales;CZE;1980;CZE;Prague;2025-05-03;Male;Outdoor
AL;1;MF54;KUG;8.85;;Cuchran;Ladislav;SVK;1982;CZE;Pardubice;2025-05-04;Male;Outdoor
AL;1;MF55;KUG;11.32;;Stoltman;Lech;POL;1985;MAR;Marrakech;2025-04-26;Male;Outdoor
AL;1;MF56;KUG;11.99;;Laczko;Dusan;SVK;1983;CZE;Pardubice;2025-05-04;Male;Outdoor
AL;0;MF57;KUG;12.76;;Abdurakhimov;Aligadzhi;NPA;1979;MAR;Marrakech;2025-04-26;Male;Outdoor
AL;1;MF63;KUG;12.96;;Schober;Georg;AUT;1989;SUI;Nottwil;2025-05-24;Male;Outdoor
AL;1;MF11;DIS;36.3;;del Amo Cano;Alvaro;ESP;1990;ESP;Segovia;2025-03-29;Male;Outdoor
AL;1;MF13;DIS;34.33;;Romero Paredes;Ismael;ESP;2005;ESP;Segovia;2025-03-29;Male;Outdoor
AL;1;MF33;DIS;27.35;;Glab;Michal;POL;1992;MAR;Marrakech;2025-04-26;Male;Outdoor
AL;1;MF34;DIS;30.5;;Horacek;Tomas;CZE;1986;CZE;Olomouc;2025-05-18;Male;Outdoor
AL;1;MF37;DIS;42.96;;Miroslaw;Jakub;POL;2000;MAR;Marrakech;2025-04-26;Male;Outdoor
AL;1;MF38;DIS;54.27;;Jenkins;Michael;GBR;2004;GBR;Loughborough;2025-03-01;Male;Outdoor
AL;1;MF41;DIS;16.39;;Jimenez Alonso;Alvaro;ESP;2000;ESP;Gua;2025-04-13;Male;Outdoor
AL;1;MF42;DIS;34.59;;Touzi;Badr;FRA;1988;MAR;Marrakech;2025-04-26;Male;Outdoor
AL;1;MF44;DIS;39.96;;Rutter;Adam James;GBR;2005;GBR;Loughborough;2025-03-01;Male;Outdoor
AL;1;MF51;DIS;10.16;;Kureja;Marian;SVK;1980;CZE;Pardubice;2025-05-04;Male;Outdoor
AL;1;MF52;DIS;17.15;;Bessenyey;Zoltan;HUN;1978;CZE;Prague;2025-05-03;Male;Outdoor
AL;1;MF53;DIS;15.85;;Broz;Jaroslav;CZE;1981;CZE;Pardubice;2025-05-04;Male;Outdoor
AL;0;MF55;DIS;27.23;;Karankau;Aliaksei;NPA;1986;UAE;Dubai;2025-02-12;Male;Outdoor
AL;1;MF56;DIS;39.53;;Laczko;Dusan;SVK;1983;CZE;Pardubice;2025-05-04;Male;Outdoor
AL;1;MF57;DIS;43.38;;Petrous;Jaroslav;CZE;1977;CZE;Prague;2025-05-03;Male;Outdoor
AL;1;MF63;DIS;36.28;;Adamcik;Martin;CZE;2000;CZE;Prague;2025-05-03;Male;Outdoor
AL;1;MF12;SPE;48.17;;Tucaliuc;Octavian Vasile;ROU;1994;UAE;Dubai;2025-02-11;Male;Outdoor
AL;0;MF13;SPE;43.98;;Kaniuk;Yury;NPA;2006;UAE;Dubai;2025-02-11;Male;Outdoor
AL;1;MF33;SPE;7.02;;Konecny;Vladimir;CZE;1981;CZE;Pardubice;2025-05-04;Male;Outdoor
AL;1;MF34;SPE;27.56;;Horacek;Tomas;CZE;1986;CZE;Prague;2025-05-03;Male;Outdoor
AL;1;MF35;SPE;29.32;;Konov;Valerii;UKR;2003;UAE;Dubai;2025-02-11;Male;Outdoor
AL;1;MF37;SPE;34.07;;Kukla;Martin;CZE;1993;CZE;Olomouc;2025-05-18;Male;Outdoor
AL;1;MF38;SPE;47.5;;Bilyi;Vladyslav;UKR;1997;UAE;Dubai;2025-02-11;Male;Outdoor
AL;1;MF40;SPE;15.5;;Bors;Sergiu;MDA;1993;MAR;Marrakech;2025-04-26;Male;Outdoor
AL;1;MF46;SPE;22.83;;Ciobanu;Maxim;MDA;2007;MAR;Marrakech;2025-04-26;Male;Outdoor
AL;1;MF53;SPE;16.36;;Kisy;Ales;CZE;1980;CZE;Prague;2025-05-03;Male;Outdoor
AL;0;MF54;SPE;28.96;;Makhov;Sergei;NPA;1975;MAR;Marrakech;2025-04-26;Male;Outdoor
AL;1;MF55;SPE;27.8;;Verbavicius;Ramunas;LTU;1986;UAE;Dubai;2025-02-13;Male;Outdoor
AL;1;MF56;SPE;14.32;;Delgado Requesens;Igor;ESP;1990;ESP;Gua;2025-04-12;Male;Outdoor
AL;1;MF57;SPE;49.01;;Khalvandi;Muhammet;TUR;1990;MAR;Marrakech;2025-04-26;Male;Outdoor
AL;1;MF63;SPE;39.35;;Schober;Georg;AUT;1989;SUI;Nottwil;2025-05-25;Male;Outdoor
