Code;Typ;Klasse;Bewerb;Leistung;Wind;Name;Vorname;Nation;YOB;RNAT;RORT;Datum;Geschlecht;Umgebung
PAL;6;MT12;100;0:11.28;2.0;Jason;Nathan;AUS;2002;AUS;Perth;2026-02-14;Male;Outdoor
PAL;6;MT13;100;0:10.87;2.0;Perris;Chad;AUS;1992;AUS;Perth;2026-02-14;Male;Outdoor
PAL;6;MT34;100;0:15.14;0.7;McCracken;Rheed;AUS;1997;AUS;Canberra;2026-01-21;Male;Outdoor
PAL;6;MT35;100;0:12.89;1.1;Fairweather;Jordan;AUS;2004;AUS;Canberra;2026-01-25;Male;Outdoor
PAL;6;MT36;100;0:12.46;1.2;McKillop;Alexander;AUS;2001;AUS;Hobart;2026-03-21;Male;Outdoor
PAL;6;MT37;100;0:11.84;1.1;Allen;Samuel;AUS;2007;AUS;Canberra;2026-01-25;Male;Outdoor
PAL;6;MT38;100;0:11.23;2.0;Muller;Ullrich;AUS;2006;AUS;Perth;2026-02-14;Male;Outdoor
PAL;6;MT47;100;0:10.87;2.0;Page;Jaydon;AUS;2004;AUS;Perth;2026-02-14;Male;Outdoor
PAL;6;MT52;100;0:17.03;0.3;McIntosh;Sam;AUS;1990;AUS;Canberra;2026-01-21;Male;Outdoor
PAL;6;MT53;100;0:17.90;0.0;Colman;Richard;AUS;1984;AUS;Melbourne;2026-03-20;Male;Outdoor
PAL;6;MT54;100;0:14.27;0.7;Carter;Samuel;AUS;1991;AUS;Canberra;2026-01-21;Male;Outdoor
PAL;6;MT72;100;0:20.78;-0.3;Mattinson;Thomas;AUS;2009;AUS;Canberra;2026-01-22;Male;Outdoor
PAL;6;MT13;200;0:22.01;0.2;Perris;Chad;AUS;1992;AUS;Canberra;2026-01-26;Male;Outdoor
PAL;6;MT35;200;0:26.23;0.2;Fairweather;Jordan;AUS;2004;AUS;Canberra;2026-01-26;Male;Outdoor
PAL;6;MT36;200;0:27.09;0.4;McKillop;Alexander;AUS;2001;AUS;Hobart;2026-03-21;Male;Outdoor
PAL;6;MT37;200;0:23.95;0.2;Allen;Samuel;AUS;2007;AUS;Canberra;2026-01-26;Male;Outdoor
PAL;6;MT38;200;0:22.86;1.6;Muller;Ullrich;AUS;2006;AUS;Brisbane;2026-03-15;Male;Outdoor
PAL;6;MT46;200;0:25.26;1.6;Abraham;Steven;PNG;1999;AUS;Brisbane;2026-03-15;Male;Outdoor
PAL;6;MT54;200;0:29.71;-0.8;Movold;Jaden;NZL;2004;AUS;Canberra;2026-01-26;Male;Outdoor
PAL;6;MT72;200;0:39.34;1.6;Mattinson;Thomas;AUS;2009;AUS;Canberra;2026-01-23;Male;Outdoor
PAL;6;MT13;400;0:58.02;;Whittaker;Michael;NZL;1990;NZL;Auckland;2026-02-08;Male;Outdoor
PAL;6;MT20;400;0:55.83;;Barwell;Zachary;AUS;2007;AUS;Sydney;2026-03-21;Male;Outdoor
PAL;6;MT34;400;0:49.54;;McCracken;Rheed;AUS;1997;AUS;Canberra;2026-01-25;Male;Outdoor
PAL;6;MT35;400;1:01.70;;Fairweather;Jordan;AUS;2004;AUS;Canberra;2026-01-25;Male;Outdoor
PAL;6;MT38;400;0:51.73;;Warrilow;Mitchell;AUS;2010;AUS;Perth;2026-02-21;Male;Outdoor
PAL;6;MT47;400;0:53.60;;Page;Jaydon;AUS;2004;AUS;Canberra;2026-02-28;Male;Outdoor
PAL;6;MT54;400;0:48.34;;Carter;Samuel;AUS;1991;AUS;Canberra;2026-01-21;Male;Outdoor
PAL;6;MT72;400;1:37.90;;Mattinson;Thomas;AUS;2009;AUS;Canberra;2026-01-21;Male;Outdoor
PAL;6;MT20;800;2:07.69;;Barwell;Zachary;AUS;2007;AUS;Sydney;2026-03-19;Male;Outdoor
