Code;Typ;Klasse;Bewerb;Leistung;Wind;Name;Vorname;Nation;YOB;RNAT;RORT;Datum;Geschlecht;Umgebung
AR;4;MT11;100;0:11.11;-0.5;Shikongo;Ananias;NAM;1986;FRA;Paris;2023-07-15;Male;Outdoor
AR;4;MT12;100;0:10.75;0.7;Adesoji;Adekunle;NGR;1981;GRE;Athens;2004-09-22;Male;Outdoor
AR;4;MT13;100;0:10.42;-0.1;Athmani;Skander Djamil;ALG;1992;FRA;Paris;2024-09-01;Male;Outdoor
AR;4;MT33;100;0:16.24;0.0;Stephen;John;TAN;;TAN;Dar es Salaam;2003-06-13;Male;Outdoor
AR;4;MT34;100;0:14.46;0.6;Ktila;Walid;TUN;1985;SUI;Arbon;2019-06-01;Male;Outdoor
AR;4;MT35;100;0:12.96;0.0;Mokgalagadi;Teboho;RSA;1983;NZL;Christchurch;2011-01-24;Male;Outdoor
AR;4;MT36;100;0:11.99;-0.3;Didane;Mokhtar;ALG;1989;FRA;Paris;2023-07-15;Male;Outdoor
AR;4;MT37;100;0:11.42;0.2;Du Toit;Charl;RSA;1993;BRA;Rio de Janeiro;2016-09-10;Male;Outdoor
AR;4;MT38;100;0:11.11;0.4;Buis;Dyan;RSA;1990;GBR;London;2012-09-01;Male;Outdoor
AR;4;MT44;100;0:11.00;1.1;Mhlongo;Mpumelelo;RSA;1994;UAE;Dubai;2019-11-11;Male;Outdoor
AR;4;MT45;100;0:11.05;0.0;Lanshima;Vitalis;NGR;1982;USA;Atlanta;2006-07-01;Male;Outdoor
AR;4;MT46;100;0:10.69;0.5;El Haddaoui;Aymane;MAR;2000;FRA;Paris;2024-08-30;Male;Outdoor
AR;4;MT47;100;0:10.69;0.5;El Haddaoui;Aymane;MAR;2000;FRA;Paris;2024-08-30;Male;Outdoor
AR;4;MT51;100;0:20.96;0.7;Berrahal;Mohamed;ALG;1979;SUI;Nottwil;2016-05-26;Male;Outdoor
AR;4;MT52;100;0:17.89;0.2;Beack;Brandon;RSA;1995;SUI;Arbon;2019-06-01;Male;Outdoor
AR;4;MT53;100;0:14.81;1.4;Khelifi;Mohamed Nidhal;TUN;1996;UAE;Dubai;2024-02-13;Male;Outdoor
AR;4;MT54;100;0:14.22;1.8;Botsyo;Nkegbe;GHA;1979;USA;Tempe;2019-05-24;Male;Outdoor
AR;4;MT62;100;0:11.23;0.0;Daniels;Paul;RSA;2002;FRA;Paris;2024-09-01;Male;Outdoor
AR;4;MT63;100;0:12.04;-0.2;Mabote;Puseletso Michael;RSA;2005;JPN;Kobe;2024-05-25;Male;Outdoor
AR;4;MT64;100;0:10.93;1.4;Fourie;Arnu;RSA;1985;QAT;Doha;2015-10-29;Male;Outdoor
AR;4;MT11;200;0:20.39;0.0;Thaphuko;Joseph;RSA;;RSA;Germiston;2003-03-22;Male;Outdoor
AR;4;MT12;200;0:21.77;0.0;Adesoji;Adekunle;NGR;1981;GRE;Athens;2004-09-24;Male;Outdoor
AR;4;MT13;200;0:21.74;1.5;Nambala;Johannes;NAM;1991;QAT;Doha;2015-10-26;Male;Outdoor
AR;4;MT33;200;0:33.27;0.0;Stephen;John;TAN;;TAN;Dar es Salaam;2003-06-13;Male;Outdoor
AR;4;MT34;200;0:25.91;0.5;Ktila;Walid;TUN;1985;SUI;Arbon;2019-06-01;Male;Outdoor
AR;4;MT35;200;0:26.70;-0.2;Boukhalfa;Allel;ALG;1988;GBR;London;2012-09-06;Male;Outdoor
AR;4;MT36;200;0:26.01;0.6;Bouzourine;Sid Ali;ALG;1992;POR;Vila Real de Santo Anto;2022-11-27;Male;Outdoor
AR;4;MT37;200;0:22.99;1.7;Van Der Merwe;Fanie;RSA;1986;QAT;Doha;2015-10-22;Male;Outdoor
AR;4;MT38;200;0:22.51;-0.2;Buis;Dyan;RSA;1990;GBR;London;2012-09-08;Male;Outdoor
AR;4;MT44;200;0:22.62;0.5;Mhlongo;Mpumelelo;RSA;1994;FRA;Paris;2024-09-07;Male;Outdoor
AR;4;MT45;200;0:22.82;0.0;Lanshima;Vitalis;NGR;1982;AUS;Sydney;2000-10-27;Male;Outdoor
AR;4;MT46;200;0:21.83;0.0;Ajibola;Adeoye;NGR;1981;ESP;Barcelona;1992-09-06;Male;Outdoor
AR;4;MT47;200;0:21.83;0.0;Ajibola;Adeoye;NGR;1981;ESP;Barcelona;1992-09-06;Male;Outdoor
AR;4;MT51;200;0:39.42;2.0;Berrahal;Mohamed;ALG;1979;UAE;Dubai;2024-02-15;Male;Outdoor
AR;4;MT52;200;0:32.98;1.3;Beack;Brandon;RSA;1995;SUI;Arbon;2019-06-01;Male;Outdoor
