Code;Typ;Klasse;Bewerb;Leistung;Wind;Name;Vorname;Nation;YOB;RNAT;RORT;Datum;Geschlecht;Umgebung
AR;5;MT11;100;0:11.03;1.2;Di;Dongdong;CHN;1993;JPN;Tokyo;2021-09-02;Male;Outdoor
AR;5;MT12;100;0:10.91;0.4;Li;Yansong;CHN;1982;GBR;London;2012-09-04;Male;Outdoor
AR;5;MT13;100;0:10.70;0.9;Kawakami;Shuta;JPN;1998;JPN;Kobe;2024-05-20;Male;Outdoor
AR;5;MT32;100;0:30.30;-0.4;Hirose;Takayoshi;JPN;;JPN;Tokyo;2002-09-01;Male;Outdoor
AR;5;MT33;100;0:16.43;1.2;Almutairi;Ahmad;KUW;1994;UAE;Dubai;2023-02-27;Male;Outdoor
AR;5;MT34;100;0:14.56;1.9;Rattana;Chaiwat;THA;1996;SUI;Nottwil;2025-05-24;Male;Outdoor
AR;5;MT35;100;0:12.29;-0.3;Yang;Sen;CHN;1990;CHN;Beijing;2008-09-13;Male;Outdoor
AR;5;MT36;100;0:11.79;0.7;Yang;Yifei;CHN;1991;UAE;Dubai;2019-11-10;Male;Outdoor
AR;5;MT37;100;0:11.26;0.7;Purnomo;Saptoyogo;INA;1998;FRA;Paris;2024-08-30;Male;Outdoor
AR;5;MT38;100;0:10.74;-0.3;Hu;Jianwen;CHN;1987;BRA;Rio de Janeiro;2016-09-13;Male;Outdoor
AR;5;MT42;100;0:12.22;-0.2;;Partin;INA;2002;JPN;Kobe;2024-05-25;Male;Outdoor
AR;5;MT44;100;0:11.18;-0.4;Almasrahi;Naif;KSA;1990;FRA;Paris;2025-06-03;Male;Outdoor
AR;5;MT45;100;0:11.05;1.4;Sambongi;Yuya;JPN;2001;JPN;Totori;2023-06-25;Male;Outdoor
AR;5;MT46;100;0:10.74;0.3;Wang;Hao;CHN;1995;JPN;Tokyo;2021-08-27;Male;Outdoor
AR;5;MT47;100;0:10.74;0.3;Wang;Hao;CHN;1995;JPN;Tokyo;2021-08-27;Male;Outdoor
AR;5;MT51;100;0:21.93;0.5;Alshook;Mohamed;BRN;1991;UAE;Dubai;2023-02-27;Male;Outdoor
AR;5;MT52;100;0:16.68;1.1;Sato;Tomoki;JPN;1989;SUI;Nottwil;2025-05-24;Male;Outdoor
AR;5;MT53;100;0:14.20;0.8;Paeyo;Pongsakorn;THA;1996;JPN;Tokyo;2021-09-01;Male;Outdoor
AR;5;MT54;100;0:13.62;0.0;Paeng-Nuea;Athiwat;THA;2002;SUI;Nottwil;2025-05-24;Male;Outdoor
AR;5;MT62;100;0:12.64;1.2;Seapla;Jafa;THA;1984;SUI;Nottwil;2022-05-27;Male;Outdoor
AR;5;MT63;100;0:12.61;1.8;Yamamoto;Atsushi;JPN;1982;QAT;Doha;2015-10-25;Male;Outdoor
AR;5;MT64;100;0:11.24;0.0;Oshima;Kengo;JPN;2000;FRA;Paris;2024-09-01;Male;Outdoor
AR;5;MT71;100;0:25.93;-0.1;Almarzooqi;Abdalla;UAE;2006;UAE;Sharjah;2025-02-02;Male;Outdoor
AR;5;MT72;100;0:23.41;-0.6;Almarzooqi;Abdalla;UAE;2006;FRA;Paris;2025-06-02;Male;Outdoor
AR;5;MT11;200;0:22.61;0.1;Di;Dongdong;CHN;1993;CHN;Tianjin;2019-08-30;Male;Outdoor
AR;5;MT12;200;0:22.04;1.0;Li;Yansong;CHN;1982;GBR;London;2012-09-08;Male;Outdoor
AR;5;MT13;200;0:21.82;0.3;Kawakami;Shuta;JPN;1998;JPN;Tokyo;2024-10-12;Male;Outdoor
AR;5;MT33;200;0:29.00;1.0;Almutairi;Ahmad;KUW;1994;SUI;Nottwil;2017-06-02;Male;Outdoor
AR;5;MT34;200;0:26.20;0.1;Rattana;Chaiwat;THA;1996;THA;Nakhon Ratchasima (Korat);2023-12-06;Male;Outdoor
AR;5;MT35;200;0:25.51;-0.3;Zare;Alireza;IRI;1994;CHN;Hangzhou;2023-10-25;Male;Outdoor
AR;5;MT36;200;0:24.63;0.0;Deng;Peicheng;CHN;1996;CHN;Tianjin;2019-08-27;Male;Outdoor
AR;5;MT37;200;0:22.70;1.7;Shang;Guangxu;CHN;1995;QAT;Doha;2015-10-22;Male;Outdoor
AR;5;MT38;200;0:22.65;-0.2;Zhou;Wenjun;CHN;1986;GBR;London;2012-09-08;Male;Outdoor
AR;5;MT42;200;0:25.12;0.0;Yodha Pedige;Anil Prasanna Jayalath;SRI;1985;UAE;Dubai;2016-03-07;Male;Outdoor
AR;5;MT44;200;0:22.66;-0.3;Almasrahi;Naif;KSA;1990;FRA;Paris;2025-06-03;Male;Outdoor
AR;5;MT45;200;0:22.62;-0.2;Zhao;Xu;CHN;1985;GBR;London;2012-08-31;Male;Outdoor
