Code;Typ;Klasse;Bewerb;Leistung;Wind;Name;Vorname;Nation;YOB;RNAT;RORT;Datum;Geschlecht;Umgebung
AR;1;MT11;100;0:10.82;1.2;Ghavelas;Athanasios;GRE;1999;JPN;Tokyo;2021-09-02;Male;Outdoor
AR;1;MT12;100;0:10.43;0.2;Kashafali;Salum Ageze;NOR;1993;JPN;Tokyo;2021-08-29;Male;Outdoor
AR;1;MT13;100;0:10.37;0.8;Kashafali;Salum Ageze;NOR;1993;NOR;Oslo;2023-06-15;Male;Outdoor
AR;1;MT32;100;0:23.25;0.0;Mcdonagh;Martin;IRL;1976;GBR;Nottingham;1999-08-13;Male;Outdoor
AR;1;MT33;100;0:16.98;1.6;Small;Andrew;GBR;1993;SUI;Arbon;2019-06-01;Male;Outdoor
AR;1;MT34;100;0:15.25;0.7;Boardman;Craig;GBR;1999;SUI;Nottwil;2017-08-05;Male;Outdoor
AR;0;MT35;100;0:11.39;0.0;Safronov;Dmitrii;RPC;1995;JPN;Tokyo;2021-08-30;Male;Outdoor
AR;1;MT36;100;0:11.90;-0.5;Shvetsov;Evgenii;RUS;1988;FRA;Lyon;2013-07-22;Male;Outdoor
AR;0;MT37;100;0:11.18;0.3;Vdovin;Andrei;RPC;1994;JPN;Tokyo;2021-08-27;Male;Outdoor
AR;1;MT38;100;0:10.94;0.0;Young;Thomas;GBR;2000;JPN;Tokyo;2021-08-28;Male;Outdoor
AR;0;MT42;100;0:12.04;-0.5;Prokhorov;Anton;RPC;1992;JPN;Tokyo;2021-08-30;Male;Outdoor
AR;1;MT44;100;0:11.66;-0.7;Siapo;Felicien;FRA;2003;FRA;Paris;2024-09-01;Male;Outdoor
AR;1;MT45;100;0:11.46;0.7;Powell;Kyle;GBR;1996;GBR;Aylesbury;2014-08-07;Male;Outdoor
AR;1;MT46;100;0:10.61;0.3;Derus;Michal;POL;1990;JPN;Tokyo;2021-08-27;Male;Outdoor
AR;1;MT47;100;0:10.61;0.3;Derus;Michal;POL;1990;JPN;Tokyo;2021-08-27;Male;Outdoor
AR;1;MT51;100;0:19.13;1.1;Habsch;Roger;BEL;1979;UAE;Dubai;2024-02-13;Male;Outdoor
AR;1;MT52;100;0:16.13;0.6;Carabin;Maxime;BEL;2000;BEL;Brussel;2024-06-29;Male;Outdoor
AR;1;MT53;100;0:14.47;0.5;Bushell;Mickey;GBR;1990;SUI;Arbon;2010-06-24;Male;Outdoor
AR;1;MT54;100;0:13.63;1.0;Tahti;Leo-Pekka;FIN;1983;GBR;London;2012-09-01;Male;Outdoor
AR;1;MT61;100;0:12.73;0.9;Lacin;Ali;GER;1988;GER;Berlin;2020-07-03;Male;Outdoor
AR;1;MT62;100;0:10.54;1.6;Floors;Johannes;GER;1995;UAE;Dubai;2019-11-10;Male;Outdoor
AR;1;MT63;100;0:12.02;1.0;Schaefer;Leon;GER;1997;GER;Leverkusen;2024-07-06;Male;Outdoor
AR;1;MT64;100;0:10.64;-0.2;Manu;Maxcel Amo;ITA;1992;FRA;Paris;2023-07-11;Male;Outdoor
AR;1;MT71;100;0:28.79;0.5;Hayer;Muninder;GBR;1995;GBR;Warwickshire;2023-04-15;Male;Outdoor
AR;1;MT72;100;0:15.39;-2.3;Calcagni;Carlo Fabio Marcello;ITA;1968;JPN;Kobe;2024-05-17;Male;Outdoor
AR;1;MT11;200;0:22.79;-0.7;Ghavelas;Athanasios;GRE;1999;GRE;Heraklion Crete;2022-05-22;Male;Outdoor
AR;1;MT12;200;0:21.56;1.0;Michalski;Mateusz;POL;1987;GBR;London;2012-09-08;Male;Outdoor
AR;1;MT13;200;0:21.05;1.7;Smyth;Jason;IRL;1987;FRA;Lyon;2013-07-21;Male;Outdoor
AR;1;MT32;200;0:46.81;0.0;Mcdonagh;Martin;IRL;1976;GBR;Nottingham;2001-07-28;Male;Outdoor
AR;1;MT33;200;0:30.27;0.2;Gold;Toby;GBR;1994;SUI;Arbon;2017-05-25;Male;Outdoor
AR;1;MT34;200;0:27.16;0.8;Manni;Henry;FIN;1992;SUI;Arbon;2015-06-07;Male;Outdoor
AR;0;MT35;200;0:23.00;0.3;Safronov;Dmitrii;RPC;1995;JPN;Tokyo;2021-09-04;Male;Outdoor
AR;1;MT36;200;0:24.29;0.6;Shvetsov;Evgenii;RUS;1988;QAT;Doha;2015-10-31;Male;Outdoor
