Code;Typ;Klasse;Bewerb;Leistung;Wind;Name;Vorname;Nation;YOB;RNAT;RORT;Datum;Geschlecht;Umgebung
PAR;6;MT12;100;0:11.04;1.0;Jason;Nathan;AUS;2002;IND;New Delhi;2025-09-27;Male;Outdoor
PAR;6;MT13;100;0:10.80;-0.1;Perris;Chad;AUS;1992;FRA;Paris;2024-09-01;Male;Outdoor
PAR;6;MT33;100;0:19.90;0.0;Jones;Lachlan;AUS;1977;USA;Atlanta;1996-08-17;Male;Outdoor
PAR;6;MT34;100;0:14.63;0.0;McCracken;Rheed;AUS;1997;SUI;Arbon;2025-06-01;Male;Outdoor
PAR;6;MT35;100;0:12.34;1.0;Love;Jackson;AUS;2006;IND;New Delhi;2025-10-03;Male;Outdoor
PAR;6;MT36;100;0:11.72;0.7;Turner;James;AUS;1996;UAE;Dubai;2019-11-10;Male;Outdoor
PAR;6;MT37;100;0:11.80;1.3;Allen;Samuel;AUS;2007;IND;New Delhi;2025-09-27;Male;Outdoor
PAR;6;MT38;100;0:10.79;0.4;O'Hanlon;Evan;AUS;1988;GBR;London;2012-09-01;Male;Outdoor
PAR;6;MT44;100;0:12.68;-0.1;Shippley;Michael;AUS;1992;IND;New Delhi;2025-09-29;Male;Outdoor
PAR;0;MT45;100;0:11.97;0.7;Record Mark;;;;;;2019-01-01;Male;Outdoor
PAR;6;MT47;100;0:10.95;1.5;Page;Jaydon;AUS;2004;AUS;Perth;2025-04-12;Male;Outdoor
PAR;6;MT51;100;0:29.70;1.1;Bennet;Glen;AUS;;AUS;Sydney;2005-01-28;Male;Outdoor
PAR;6;MT52;100;0:17.25;0.8;McIntosh;Sam;AUS;1990;IND;New Delhi;2025-10-04;Male;Outdoor
PAR;6;MT53;100;0:15.66;0.5;Colman;Richard;AUS;1984;AUS;Brisbane;2015-03-07;Male;Outdoor
PAR;6;MT54;100;0:13.94;1.1;Carter;Samuel;AUS;1991;UAE;Dubai;2019-11-07;Male;Outdoor
PAR;6;MT63;100;0:12.13;0.6;Reardon;Scott;AUS;1990;QAT;Doha;2015-10-25;Male;Outdoor
PAR;6;MT64;100;0:11.86;2.0;Joynt;Mitchell;NZL;1995;NZL;Hastings;2022-03-05;Male;Outdoor
PAR;6;MT71;100;0:21.88;1.4;Mattinson;Thomas;AUS;2009;AUS;Brisbane;2024-12-06;Male;Outdoor
PAR;6;MT72;100;0:23.75;0.3;Reynolds;Caleb;AUS;2005;DEN;Bagsværd;2024-07-11;Male;Outdoor
PAR;6;MT11;200;0:24.50;-1.6;Harpur;Paul;AUS;1979;CAN;Quebec;2003-08-11;Male;Outdoor
PAR;6;MT12;200;0:23.73;1.0;Fitzpatrick;Jonathan;AUS;1986;NED;Assen;2006-09-05;Male;Outdoor
PAR;6;MT13;200;0:21.82;1.5;Perris;Chad;AUS;1992;QAT;Doha;2015-10-26;Male;Outdoor
PAR;6;MT33;200;0:37.12;0.0;Jones;Lachlan;AUS;1977;GBR;Birmingham;1998-08-10;Male;Outdoor
PAR;6;MT34;200;0:26.38;0.0;McCracken;Rheed;AUS;1997;AUS;Canberra;2019-01-21;Male;Outdoor
PAR;6;MT35;200;0:24.71;-0.1;Love;Jackson;AUS;2006;IND;New Delhi;2025-09-30;Male;Outdoor
PAR;6;MT36;200;0:23.80;0.8;Turner;James;AUS;1996;AUS;Canberra;2025-01-27;Male;Outdoor
PAR;6;MT37;200;0:23.72;-0.4;Allen;Samuel;AUS;2007;IND;New Delhi;2025-09-30;Male;Outdoor
PAR;6;MT38;200;0:21.82;-0.2;O'Hanlon;Evan;AUS;1988;GBR;London;2012-09-08;Male;Outdoor
PAR;0;MT44;200;0:26.47;-2.0;Record Mark;;;;;;2026-01-01;Male;Outdoor
PAR;0;MT45;200;0:25.15;1.0;Record Mark;;;;;;2019-01-01;Male;Outdoor
PAR;6;MT47;200;0:21.74;0.8;Francis;Heath;AUS;1981;CHN;Beijing;2008-09-09;Male;Outdoor
PAR;6;MT51;200;0:54.74;0.7;Bennet;Glen;AUS;;AUS;Sydney;2005-01-28;Male;Outdoor
PAR;6;MT52;200;0:33.08;1.5;McIntosh;Sam;AUS;1990;AUS;Canberra;2014-01-21;Male;Outdoor
PAR;6;MT53;200;0:26.67;0.2;Colman;Richard;AUS;1984;GBR;London;2012-09-07;Male;Outdoor
PAR;6;MT54;200;0:24.51;1.6;Carter;Samuel;AUS;1991;SUI;Arbon;2019-06-01;Male;Outdoor
PAR;6;MT63;200;0:25.27;1.1;Reardon;Scott;AUS;1990;QAT;Doha;2015-10-27;Male;Outdoor
PAR;6;MT64;200;0:22.98;1.7;Joynt;Mitchell;NZL;1995;IND;New Delhi;2025-10-05;Male;Outdoor
PAR;6;MT71;200;0:54.65;0.0;Mattinson;Thomas;AUS;2009;DEN;Bagsværd;2024-07-12;Male;Outdoor
PAR;6;MT72;200;0:48.61;0.4;Reynolds;Caleb;AUS;2005;DEN;Bagsværd;2024-07-12;Male;Outdoor
PAR;6;MT11;400;0:54.31;;Harpur;Paul;AUS;1979;GRE;Athens;2004-09-25;Male;Outdoor
PAR;6;MT12;400;0:53.60;;Fitzpatrick;Jonathan;AUS;1986;NED;Assen;2006-09-07;Male;Outdoor
PAR;6;MT13;400;0:51.38;;Prendergast;Tim;NZL;1979;NZL;Wellington;2003-03-15;Male;Outdoor
PAR;6;MT20;400;0:50.71;;Campbell;Alberto;AUS;1993;AUS;Canberra;2016-02-06;Male;Outdoor
PAR;6;MT33;400;1:03.77;;Jones;Lachlan;AUS;1977;AUS;Sydney;2000-10-24;Male;Outdoor
PAR;6;MT34;400;0:48.09;;McCracken;Rheed;AUS;1997;SUI;Arbon;2025-05-31;Male;Outdoor
PAR;6;MT35;400;1:08.88;;Orbell;Zac;NZL;2004;AUS;Perth;2025-04-10;Male;Outdoor
PAR;6;MT36;400;0:51.54;;Turner;James;AUS;1996;FRA;Paris;2024-09-03;Male;Outdoor
PAR;6;MT37;400;0:54.37;;Scott;Brad;AUS;1988;FRA;Lyon;2013-07-26;Male;Outdoor
PAR;6;MT38;400;0:49.72;;O'Hanlon;Evan;AUS;1988;NZL;Christchurch;2011-01-29;Male;Outdoor
PAR;6;MT44;400;0:53.15;;Fuller;Neil;AUS;1969;GRE;Athens;2004-09-23;Male;Outdoor
PAR;6;MT47;400;0:47.69;;Francis;Heath;AUS;1981;CHN;Beijing;2008-09-10;Male;Outdoor
